country,year,iso_code,co2_per_capita,consumption_co2_per_capita,co2_per_gdp,consumption_co2_per_gdp,energy_per_capita,primary_energy_consumption,energy_per_gdp,gdp,population
Afghanistan,2019,AFG,0.2747272849082947,,0.1423001885414123,,1244.489013671875,47.11153030395508,0.6446066498756409,73085701943.0,37856125.0
Albania,2019,ALB,1.7124814987182615,2.0869054794311523,0.148409903049469,0.1808588653802871,8630.005859375,24.897661209106445,0.7479077577590942,33289747424.0,2885011.0
Algeria,2019,DZA,4.213578701019287,,0.3092446327209472,,16037.7890625,694.348876953125,1.1770517826080322,589905104177.0,43294551.0
Angola,2019,AGO,0.6860120892524719,,0.1376012861728668,,2937.561279296875,95.10540771484376,0.5892202258110046,161408924528.0,32375633.0
Argentina,2019,ARG,4.011868953704834,3.8401360511779785,0.220827117562294,0.2113743424415588,20582.3125,925.657958984375,1.1329214572906494,817053926667.0,44973469.0
Armenia,2019,ARM,2.163968324661255,2.8132729530334477,0.1748058050870895,0.2272567749023437,14248.7734375,41.37808227539063,1.1510188579559326,35949092334.0,2903975.0
Australia,2019,AUS,16.28261947631836,15.055185317993164,0.3304846584796905,0.3055717349052429,65938.53125,1680.292724609375,1.3383395671844482,1255505542015.0,25482714.0
Austria,2019,AUT,7.651411056518555,9.752541542053224,0.1749766021966934,0.2230264097452163,48188.984375,427.96038818359375,1.1020116806030271,388344674039.0,8880876.0
Azerbaijan,2019,AZE,3.7340009212493896,3.728574275970459,0.2279009968042373,0.2275697886943817,18385.92578125,185.89059448242188,1.1221665143966677,165653307401.0,10110483.0
Bahrain,2019,BHR,25.31922721862793,16.057764053344727,0.6529052257537842,0.4140805006027221,155660.703125,231.2612152099609,4.014012336730957,57613480945.0,1485675.0
Bangladesh,2019,BGD,0.5748949646949768,0.9010580778121948,0.1321887373924255,0.2071851938962936,2926.16015625,482.56201171875,0.672827959060669,717214595514.0,164913060.0
